stimulus,dr,dc,glcm_contrast,glcm_entropy,glcm_homogeneity
kodim01_a56e27cbf5f8__clean_0,0,1,0.4798932529335071,2.534306771828514,0.8343818126820561
kodim01_a56e27cbf5f8__clean_0,1,1,0.8462661090940636,2.776298615463226,0.7638913459388179
kodim01_a56e27cbf5f8__clean_0,1,0,0.6430355104370515,2.6574456652758207,0.8012917512948989
kodim01_a56e27cbf5f8__clean_0,1,-1,0.9076943488366753,2.809530194852297,0.7505608798970234
kodim01_a56e27cbf5f8__awgn_5_seed-20260811,0,1,0.5645957260430248,2.65127778353094,0.7983412115287851
kodim01_a56e27cbf5f8__awgn_5_seed-20260811,1,1,0.9197600634795897,2.8528668079681267,0.7360822345214164
kodim01_a56e27cbf5f8__awgn_5_seed-20260811,1,0,0.7236423679060666,2.75642318876604,0.7678690424636234
kodim01_a56e27cbf5f8__awgn_5_seed-20260811,1,-1,0.9809433658980907,2.8812755972920794,0.7241177036882859
kodim01_a56e27cbf5f8__awgn_5_seed-20260812,0,1,0.5642213983050848,2.651343145981831,0.7980661598235439
kodim01_a56e27cbf5f8__awgn_5_seed-20260812,1,1,0.9163692123989314,2.8518499775068706,0.7361885677650082
kodim01_a56e27cbf5f8__awgn_5_seed-20260812,1,0,0.7193003913894325,2.754424815451105,0.7684093890026605
kodim01_a56e27cbf5f8__awgn_5_seed-20260812,1,-1,0.9785526755575513,2.880856144637897,0.7238357359877099
kodim01_a56e27cbf5f8__awgn_5_seed-20260813,0,1,0.5657823704367666,2.653146568856738,0.7978863017573599
kodim01_a56e27cbf5f8__awgn_5_seed-20260813,1,1,0.9168565356166936,2.8527912355230485,0.7360169666899214
kodim01_a56e27cbf5f8__awgn_5_seed-20260813,1,0,0.7198354941291585,2.755273527059002,0.7684251852796626
kodim01_a56e27cbf5f8__awgn_5_seed-20260813,1,-1,0.9803055082832189,2.881830561326433,0.7239167505540567
kodim01_a56e27cbf5f8__awgn_15_seed-20260811,0,1,0.9536011856258148,2.994928440623057,0.6889990333366305
kodim01_a56e27cbf5f8__awgn_15_seed-20260811,1,1,1.2992317642886486,3.115766947900113,0.6479033048069668
kodim01_a56e27cbf5f8__awgn_15_seed-20260811,1,0,1.1063554916829745,3.0556399265771397,0.6684893241847688
kodim01_a56e27cbf5f8__awgn_15_seed-20260811,1,-1,1.3624357996310632,3.1328495164630796,0.639982790815288
kodim01_a56e27cbf5f8__awgn_15_seed-20260812,0,1,0.9542250651890483,2.9956519799981276,0.6886780486194144
kodim01_a56e27cbf5f8__awgn_15_seed-20260812,1,1,1.303954462069159,3.116938896747241,0.647243178780075
kodim01_a56e27cbf5f8__awgn_15_seed-20260812,1,0,1.106095584637965,3.055711481770892,0.6685207772955178
kodim01_a56e27cbf5f8__awgn_15_seed-20260812,1,-1,1.365158175931336,3.134069088098447,0.6394415483302669
kodim01_a56e27cbf5f8__awgn_15_seed-20260813,0,1,0.955730015482399,2.996173201881285,0.6883921377820899
kodim01_a56e27cbf5f8__awgn_15_seed-20260813,1,1,1.3000660820489007,3.1163881180514967,0.647639100179603
kodim01_a56e27cbf5f8__awgn_15_seed-20260813,1,0,1.1053082191780823,3.0559825786254846,0.6686983910379861
kodim01_a56e27cbf5f8__awgn_15_seed-20260813,1,-1,1.3664185825783224,3.1346692210496854,0.6391942341351018
kodim01_a56e27cbf5f8__awgn_30_seed-20260811,0,1,2.188508393089961,3.49889197405673,0.5397454982824595
kodim01_a56e27cbf5f8__awgn_30_seed-20260811,1,1,2.5170167654495494,3.5454813266552847,0.5197498538511958
kodim01_a56e27cbf5f8__awgn_30_seed-20260811,1,0,2.33039026826484,3.5205537341071054,0.53007035243771
kodim01_a56e27cbf5f8__awgn_30_seed-20260811,1,-1,2.580373886619533,3.5527786292575296,0.5160010646913059
kodim01_a56e27cbf5f8__awgn_30_seed-20260812,0,1,2.1850197604302477,3.4997132099250416,0.539948382366195
kodim01_a56e27cbf5f8__awgn_30_seed-20260812,1,1,2.5278399334586936,3.548215531126915,0.5191128031211364
kodim01_a56e27cbf5f8__awgn_30_seed-20260812,1,0,2.336031780006523,3.5225852041055123,0.5301555071689414
kodim01_a56e27cbf5f8__awgn_30_seed-20260812,1,-1,2.590809237198836,3.5554788207834767,0.5147773902182542
kodim01_a56e27cbf5f8__awgn_30_seed-20260813,0,1,2.193593648142112,3.501424999707922,0.5389605510977362
kodim01_a56e27cbf5f8__awgn_30_seed-20260813,1,1,2.521770080395574,3.5477833343283507,0.5192837704105377
kodim01_a56e27cbf5f8__awgn_30_seed-20260813,1,0,2.335975721624266,3.523112812986673,0.5294646814392105
kodim01_a56e27cbf5f8__awgn_30_seed-20260813,1,-1,2.590125453835693,3.5557877572784102,0.5143359706448942
kodim01_a56e27cbf5f8__stripes_8,0,1,0.4871455345501956,2.5564001608575846,0.8312654046944805
kodim01_a56e27cbf5f8__stripes_8,1,1,0.8527671539048367,2.8084358430723473,0.7563458672501826
kodim01_a56e27cbf5f8__stripes_8,1,0,0.6500224233529028,2.6932984254899264,0.7927079492941198
kodim01_a56e27cbf5f8__stripes_8,1,-1,0.9148026340968064,2.841226523232362,0.7428851043195996
kodim01_a56e27cbf5f8__stripes_16,0,1,0.4834226287483703,2.580752731097844,0.8340123000555945
kodim01_a56e27cbf5f8__stripes_16,1,1,0.8641720480587441,2.8532557156172293,0.753420353351876
kodim01_a56e27cbf5f8__stripes_16,1,0,0.665305976842792,2.7432341079529605,0.7873940544751634
kodim01_a56e27cbf5f8__stripes_16,1,-1,0.9264065398265537,2.8860615201223068,0.7401279501968163
kodim01_a56e27cbf5f8__stripes_32,0,1,0.4809831323337679,2.698552013372719,0.8347862681944571
